Time,Event,,,Time Olympic Males,,Time Victoria Males
12737,V,,,,,12737
12745,V,,,,,12745
12751,V,,,,,12751
12758,V,,,,,12758
12765,V,,,,,12765
12782,V,,,,,12782
12835,V,,,,,12835
12844,V,,,,,12844
12850,V,,,,,12850
12856,V,,,,,12856
12865,V,,,,,12865
12866,V,,,,,12866
12872,V,,,,,12872
12873,V,,,,,12873
12875,V,,,,,12875
12883,V,,,,,12883
12887,V,,,,,12887
12897,V,,,,,12897
12920,V,,,,,12920
12926,V,,,,,12926
12934,V,,,,,12934
12936,V,,,,,12936
12940,V,,,,,12940
12963,V,,,,,12963
12977,V,,,,,12977
12982,V,,,,,12982
13006,V,,,,,13006
13008,V,,,,,13008
13012,V,,,,,13012
13015,V,,,,,13015
13022,V,,,,,13022
13039,V,,,,,13039
13055,V,,,,,13055
13075,V,,,,,13075
13079,V,,,,,13079
13109,V,,,,,13109
13113,V,,,,,13113
13130,V,,,,,13130
13149,V,,,,,13149
13156,V,,,,,13156
13175,V,,,,,13175
13176,V,,,,,13176
13178,V,,,,,13178
13195,V,,,,,13195
13197,V,,,,,13197
13207,V,,,,,13207
13232,V,,,,,13232
13247,V,,,,,13247
13248,V,,,,,13248
13252,V,,,,,13252
13254,V,,,,,13254
13256,V,,,,,13256
13283,V,,,,,13283
13285,V,,,,,13285
13292,V,,,,,13292
13300,V,,,,,13300
13304,V,,,,,13304
13305,V,,,,,13305
13307,V,,,,,13307
13312,V,,,,,13312
13344,V,,,,,13344
13374,V,,,,,13374
13377,V,,,,,13377
13386,V,,,,,13386
13390,V,,,,,13390
13399,V,,,,,13399
13418,V,,,,,13418
13421,V,,,,,13421
13428,V,,,,,13428
13436,V,,,,,13436
13446,V,,,,,13446
13450,V,,,,,13450
13458,V,,,,,13458
13459,V,,,,,13459
13470,V,,,,,13470
13471,V,,,,,13471
13472,V,,,,,13472
13488,V,,,,,13488
13490,V,,,,,13490
13495,V,,,,,13495
13500,V,,,,,13500
13502,V,,,,,13502
13518,V,,,,,13518
13522,V,,,,,13522
13524,V,,,,,13524
13527,V,,,,,13527
13529,V,,,,,13529
13561,V,,,,,13561
13569,V,,,,,13569
13570,V,,,,,13570
13573,V,,,,,13573
13579,V,,,,,13579
13591,V,,,,,13591
13595,V,,,,,13595
13600,V,,,,,13600
13604,V,,,,,13604
13608,V,,,,,13608
13636,V,,,,,13636
13644,V,,,,,13644
13650,V,,,,,13650
13656,V,,,,,13656
13667,V,,,,,13667
13684,V,,,,,13684
13687,V,,,,,13687
13689,V,,,,,13689
13695,V,,,,,13695
13697,V,,,,,13697
13714,V,,,,,13714
13717,V,,,,,13717
13718,V,,,,,13718
13741,V,,,,,13741
13741,V,,,,,13741
13764,V,,,,,13764
13768,V,,,,,13768
13782,V,,,,,13782
13782,V,,,,,13782
13783,V,,,,,13783
13793,V,,,,,13793
13796,V,,,,,13796
13801,V,,,,,13801
13843,V,,,,,13843
13847,V,,,,,13847
13856,V,,,,,13856
13866,V,,,,,13866
13869,V,,,,,13869
13877,V,,,,,13877
13891,V,,,,,13891
13892,V,,,,,13892
13897,V,,,,,13897
13897,V,,,,,13897
13898,V,,,,,13898
13904,V,,,,,13904
13916,V,,,,,13916
13917,V,,,,,13917
13919,V,,,,,13919
13942,V,,,,,13942
13949,V,,,,,13949
13950,V,,,,,13950
13965,V,,,,,13965
13968,V,,,,,13968
13974,V,,,,,13974
13977,V,,,,,13977
13986,V,,,,,13986
13988,V,,,,,13988
13992,V,,,,,13992
14008,V,,,,,14008
14013,V,,,,,14013
14021,V,,,,,14021
14030,V,,,,,14030
14046,V,,,,,14046
14051,V,,,,,14051
14058,V,,,,,14058
14067,V,,,,,14067
14070,V,,,,,14070
14074,V,,,,,14074
14077,V,,,,,14077
14080,V,,,,,14080
14082,V,,,,,14082
14088,V,,,,,14088
14092,V,,,,,14092
14093,V,,,,,14093
14113,V,,,,,14113
14124,V,,,,,14124
14130,V,,,,,14130
14139,V,,,,,14139
14140,V,,,,,14140
14140,V,,,,,14140
14142,V,,,,,14142
14143,V,,,,,14143
14146,V,,,,,14146
14148,V,,,,,14148
14149,V,,,,,14149
14157,V,,,,,14157
14157,V,,,,,14157
14158,V,,,,,14158
14161,V,,,,,14161
14165,V,,,,,14165
14174,V,,,,,14174
14177,V,,,,,14177
14183,V,,,,,14183
14187,V,,,,,14187
14196,V,,,,,14196
14199,V,,,,,14199
14208,V,,,,,14208
14211,V,,,,,14211
14211,V,,,,,14211
14214,V,,,,,14214
14215,V,,,,,14215
14215,V,,,,,14215
14217,V,,,,,14217
14230,V,,,,,14230
14247,V,,,,,14247
14248,V,,,,,14248
14256,V,,,,,14256
14257,V,,,,,14257
14262,V,,,,,14262
14263,V,,,,,14263
14268,V,,,,,14268
14272,V,,,,,14272
14277,V,,,,,14277
14282,V,,,,,14282
14294,V,,,,,14294
14294,V,,,,,14294
14298,V,,,,,14298
14300,V,,,,,14300
14304,V,,,,,14304
14305,V,,,,,14305
14312,V,,,,,14312
14316,V,,,,,14316
14320,V,,,,,14320
14328,V,,,,,14328
14339,V,,,,,14339
14348,V,,,,,14348
14353,V,,,,,14353
14357,V,,,,,14357
14363,V,,,,,14363
14369,V,,,,,14369
14371,V,,,,,14371
14375,V,,,,,14375
14377,V,,,,,14377
14382,V,,,,,14382
14386,V,,,,,14386
14392,V,,,,,14392
14399,V,,,,,14399
14402,V,,,,,14402
14408,V,,,,,14408
14413,V,,,,,14413
14423,V,,,,,14423
14428,V,,,,,14428
14442,V,,,,,14442
14451,V,,,,,14451
14456,V,,,,,14456
14458,V,,,,,14458
14459,V,,,,,14459
14472,V,,,,,14472
14473,V,,,,,14473
14475,V,,,,,14475
14476,V,,,,,14476
14515,V,,,,,14515
14521,V,,,,,14521
14545,V,,,,,14545
14546,V,,,,,14546
14575,V,,,,,14575
14590,V,,,,,14590
14599,V,,,,,14599
14600,V,,,,,14600
14603,V,,,,,14603
14620,V,,,,,14620
14623,V,,,,,14623
14624,V,,,,,14624
14643,V,,,,,14643
14646,V,,,,,14646
14648,V,,,,,14648
14670,V,,,,,14670
14678,V,,,,,14678
14687,V,,,,,14687
14724,V,,,,,14724
14725,V,,,,,14725
14725,V,,,,,14725
14741,V,,,,,14741
14748,V,,,,,14748
14756,V,,,,,14756
14757,V,,,,,14757
14759,V,,,,,14759
14760,V,,,,,14760
14762,V,,,,,14762
14764,V,,,,,14764
14765,V,,,,,14765
14779,V,,,,,14779
14794,V,,,,,14794
14800,V,,,,,14800
14815,V,,,,,14815
14816,V,,,,,14816
14832,V,,,,,14832
14839,V,,,,,14839
14864,V,,,,,14864
14869,V,,,,,14869
14880,V,,,,,14880
14899,V,,,,,14899
14917,V,,,,,14917
14921,V,,,,,14921
14933,V,,,,,14933
14939,V,,,,,14939
14944,V,,,,,14944
14952,V,,,,,14952
14999,V,,,,,14999
15002,V,,,,,15002
15010,V,,,,,15010
15010,V,,,,,15010
15013,V,,,,,15013
15017,V,,,,,15017
15025,V,,,,,15025
15026,V,,,,,15026
15029,V,,,,,15029
15031,V,,,,,15031
15074,V,,,,,15074
15077,V,,,,,15077
15084,V,,,,,15084
15086,V,,,,,15086
15090,V,,,,,15090
15090,V,,,,,15090
15102,V,,,,,15102
15109,V,,,,,15109
15112,V,,,,,15112
15112,V,,,,,15112
15118,V,,,,,15118
15122,V,,,,,15122
15134,V,,,,,15134
15143,V,,,,,15143
15163,V,,,,,15163
15166,V,,,,,15166
15175,V,,,,,15175
15179,V,,,,,15179
15179,V,,,,,15179
15189,V,,,,,15189
15195,V,,,,,15195
15200,V,,,,,15200
15204,V,,,,,15204
15212,V,,,,,15212
15217,V,,,,,15217
15233,V,,,,,15233
15237,V,,,,,15237
15259,V,,,,,15259
15271,V,,,,,15271
15275,V,,,,,15275
15286,V,,,,,15286
15289,V,,,,,15289
15291,V,,,,,15291
15294,V,,,,,15294
15300,V,,,,,15300
15319,V,,,,,15319
15331,V,,,,,15331
15333,V,,,,,15333
15337,V,,,,,15337
15338,V,,,,,15338
15340,V,,,,,15340
15340,V,,,,,15340
15344,V,,,,,15344
15359,V,,,,,15359
15367,V,,,,,15367
15379,V,,,,,15379
15382,V,,,,,15382
15387,V,,,,,15387
15390,V,,,,,15390
15396,V,,,,,15396
15402,V,,,,,15402
15436,V,,,,,15436
15441,V,,,,,15441
15449,V,,,,,15449
15461,V,,,,,15461
15479,V,,,,,15479
15507,V,,,,,15507
15520,V,,,,,15520
15524,V,,,,,15524
15541,V,,,,,15541
15543,V,,,,,15543
15549,V,,,,,15549
15561,V,,,,,15561
15597,V,,,,,15597
15611,V,,,,,15611
15631,V,,,,,15631
15638,V,,,,,15638
15653,V,,,,,15653
15673,V,,,,,15673
15679,V,,,,,15679
15689,V,,,,,15689
15701,V,,,,,15701
15706,V,,,,,15706
15722,V,,,,,15722
15730,V,,,,,15730
15731,V,,,,,15731
15732,V,,,,,15732
15739,V,,,,,15739
15746,V,,,,,15746
15748,V,,,,,15748
15762,V,,,,,15762
15763,V,,,,,15763
15767,V,,,,,15767
15768,V,,,,,15768
15776,V,,,,,15776
15828,V,,,,,15828
15828,V,,,,,15828
15829,V,,,,,15829
15832,V,,,,,15832
15838,V,,,,,15838
15842,V,,,,,15842
15846,V,,,,,15846
15887,V,,,,,15887
15892,V,,,,,15892
15900,V,,,,,15900
15912,V,,,,,15912
15915,V,,,,,15915
15944,V,,,,,15944
15950,V,,,,,15950
15966,V,,,,,15966
15988,V,,,,,15988
16029,V,,,,,16029
16034,V,,,,,16034
16037,V,,,,,16037
16042,V,,,,,16042
16044,V,,,,,16044
16069,V,,,,,16069
16078,V,,,,,16078
16104,V,,,,,16104
16111,V,,,,,16111
16111,V,,,,,16111
16118,V,,,,,16118
16125,V,,,,,16125
16125,V,,,,,16125
16133,V,,,,,16133
16137,V,,,,,16137
16139,V,,,,,16139
16142,V,,,,,16142
16144,V,,,,,16144
16147,V,,,,,16147
16152,V,,,,,16152
16153,V,,,,,16153
16168,V,,,,,16168
16184,V,,,,,16184
16185,V,,,,,16185
16195,V,,,,,16195
16217,V,,,,,16217
16232,V,,,,,16232
16234,V,,,,,16234
16261,V,,,,,16261
16267,V,,,,,16267
16271,V,,,,,16271
16287,V,,,,,16287
16287,V,,,,,16287
16317,V,,,,,16317
16350,V,,,,,16350
16365,V,,,,,16365
16372,V,,,,,16372
16384,V,,,,,16384
16408,V,,,,,16408
16430,V,,,,,16430
16436,V,,,,,16436
16454,V,,,,,16454
16479,V,,,,,16479
16490,V,,,,,16490
16500,V,,,,,16500
16513,V,,,,,16513
16519,V,,,,,16519
16545,V,,,,,16545
16546,V,,,,,16546
16560,V,,,,,16560
16577,V,,,,,16577
16609,V,,,,,16609
16622,V,,,,,16622
16633,V,,,,,16633
16681,V,,,,,16681
16712,V,,,,,16712
16713,V,,,,,16713
16734,V,,,,,16734
16738,V,,,,,16738
16753,V,,,,,16753
16755,V,,,,,16755
16772,V,,,,,16772
16784,V,,,,,16784
16926,V,,,,,16926
16928,V,,,,,16928
16954,V,,,,,16954
16966,V,,,,,16966
16991,V,,,,,16991
17004,V,,,,,17004
17011,V,,,,,17011
17013,V,,,,,17013
17043,V,,,,,17043
17043,V,,,,,17043
17079,V,,,,,17079
17079,V,,,,,17079
17094,V,,,,,17094
17095,V,,,,,17095
17097,V,,,,,17097
17107,V,,,,,17107
17112,V,,,,,17112
17131,V,,,,,17131
17136,V,,,,,17136
17145,V,,,,,17145
17168,V,,,,,17168
17184,V,,,,,17184
17184,V,,,,,17184
17187,V,,,,,17187
17197,V,,,,,17197
17241,V,,,,,17241
17243,V,,,,,17243
17250,V,,,,,17250
17310,V,,,,,17310
17322,V,,,,,17322
17325,V,,,,,17325
17340,V,,,,,17340
17366,V,,,,,17366
17369,V,,,,,17369
17403,V,,,,,17403
17422,V,,,,,17422
17450,V,,,,,17450
17451,V,,,,,17451
17461,V,,,,,17461
17479,V,,,,,17479
17479,V,,,,,17479
17490,V,,,,,17490
17497,V,,,,,17497
17507,V,,,,,17507
17509,V,,,,,17509
17512,V,,,,,17512
17536,V,,,,,17536
17553,V,,,,,17553
17558,V,,,,,17558
17602,V,,,,,17602
17639,V,,,,,17639
17658,V,,,,,17658
17689,V,,,,,17689
17709,V,,,,,17709
17717,V,,,,,17717
17750,V,,,,,17750
17793,V,,,,,17793
17796,V,,,,,17796
17850,V,,,,,17850
17870,V,,,,,17870
17890,V,,,,,17890
17909,V,,,,,17909
17928,V,,,,,17928
17948,V,,,,,17948
17966,V,,,,,17966
17987,V,,,,,17987
18019,V,,,,,18019
18071,V,,,,,18071
18074,V,,,,,18074
18085,V,,,,,18085
18096,V,,,,,18096
18107,V,,,,,18107
18127,V,,,,,18127
18182,V,,,,,18182
18239,V,,,,,18239
18249,V,,,,,18249
18299,V,,,,,18299
18323,V,,,,,18323
18349,V,,,,,18349
18398,V,,,,,18398
18425,V,,,,,18425
18437,V,,,,,18437
18450,V,,,,,18450
18458,V,,,,,18458
18653,V,,,,,18653
18671,V,,,,,18671
18698,V,,,,,18698
18798,V,,,,,18798
18844,V,,,,,18844
18883,V,,,,,18883
18897,V,,,,,18897
18931,V,,,,,18931
18940,V,,,,,18940
18966,V,,,,,18966
18984,V,,,,,18984
19037,V,,,,,19037
19169,V,,,,,19169
19170,V,,,,,19170
19194,V,,,,,19194
19252,V,,,,,19252
19259,V,,,,,19259
19282,V,,,,,19282
19310,V,,,,,19310
19328,V,,,,,19328
19345,V,,,,,19345
19422,V,,,,,19422
19435,V,,,,,19435
19485,V,,,,,19485
19547,V,,,,,19547
19555,V,,,,,19555
19604,V,,,,,19604
19723,V,,,,,19723
19789,V,,,,,19789
19794,V,,,,,19794
19877,V,,,,,19877
19930,V,,,,,19930
19953,V,,,,,19953
19997,V,,,,,19997
20105,V,,,,,20105
20109,V,,,,,20109
20278,V,,,,,20278
20354,V,,,,,20354
20375,V,,,,,20375
20421,V,,,,,20421
20635,V,,,,,20635
20756,V,,,,,20756
20764,V,,,,,20764
20929,V,,,,,20929
21017,V,,,,,21017
21084,V,,,,,21084
21276,V,,,,,21276
21528,V,,,,,21528
21739,V,,,,,21739
21842,V,,,,,21842
21938,V,,,,,21938
22066,V,,,,,22066
22129,V,,,,,22129
22153,V,,,,,22153
22332,V,,,,,22332
22383,V,,,,,22383
22558,V,,,,,22558
22892,V,,,,,22892
23022,V,,,,,23022
23406,V,,,,,23406
23614,V,,,,,23614
23763,V,,,,,23763
24388,V,,,,,24388
24635,V,,,,,24635
25632,V,,,,,25632
26431,V,,,,,26431
27784,V,,,,,27784
7681,O,,,,,
7707,O,,,,,
7777,O,,,,,
7866,O,,,,,
7870,O,,,,,
7876,O,,,,,
7928,O,,,,,
7937,O,,,,,
7948,O,,,,,
7965,O,,,,,
7968,O,,,,,
7976,O,,,,,
8015,O,,,,,
8029,O,,,,,
8049,O,,,,,
8050,O,,,,,
8089,O,,,,,
8109,O,,,,,
8124,O,,,,,
8126,O,,,,,
8135,O,,,,,
8160,O,,,,,
8164,O,,,,,
8177,O,,,,,
8185,O,,,,,
8188,O,,,,,
8189,O,,,,,
8189,O,,,,,
8196,O,,,,,
8220,O,,,,,
8231,O,,,,,
8239,O,,,,,
8259,O,,,,,
8268,O,,,,,
8274,O,,,,,
8278,O,,,,,
8300,O,,,,,
8303,O,,,,,
8306,O,,,,,
8314,O,,,,,
8324,O,,,,,
8327,O,,,,,
8340,O,,,,,
8351,O,,,,,
8351,O,,,,,
8368,O,,,,,
8372,O,,,,,
8380,O,,,,,
8392,O,,,,,
8393,O,,,,,
8410,O,,,,,
8420,O,,,,,
8420,O,,,,,
8439,O,,,,,
8441,O,,,,,
8460,O,,,,,
8473,O,,,,,
8485,O,,,,,
8512,O,,,,,
8528,O,,,,,
8557,O,,,,,
8560,O,,,,,
8579,O,,,,,
8603,O,,,,,
8656,O,,,,,
8693,O,,,,,
8703,O,,,,,
8717,O,,,,,
8785,O,,,,,
8797,O,,,,,
8803,O,,,,,
8868,O,,,,,
8900,O,,,,,
8914,O,,,,,
8934,O,,,,,
8978,O,,,,,
8998,O,,,,,
9006,O,,,,,
9019,O,,,,,
9197,O,,,,,
9299,O,,,,,
9525,O,,,,,
9613,O,,,,,
9909,O,,,,,
10554,O,,,,,
