Participant	Gender	Rating	GroupNum
399	F	5	1
400	F	5	1
401	F	5	1
402	F	5	1
403	F	5	1
404	F	5	1
405	F	5	1
406	F	5	1
407	F	5	1
408	F	5	1
409	F	5	1
410	F	5	1
411	F	5	1
412	F	5	1
413	F	5	1
414	F	5	1
415	F	5	1
416	F	5	1
417	F	5	1
418	F	5	1
419	F	5	1
420	F	5	1
421	F	5	1
422	F	5	1
423	F	5	1
424	F	5	1
425	F	5	1
426	F	5	1
427	F	5	1
428	F	5	1
429	F	5	1
430	F	5	1
431	F	5	1
432	F	5	1
433	F	5	1
434	F	5	1
435	F	5	1
436	F	5	1
437	F	5	1
438	F	5	1
439	F	5	1
440	F	5	1
441	F	5	1
442	F	5	1
443	F	5	1
444	F	5	1
445	F	5	1
446	F	5	1
447	F	5	1
448	F	5	1
449	F	5	1
450	F	5	1
451	F	5	1
452	F	5	1
453	F	5	1
454	F	5	1
455	F	5	1
456	F	5	1
457	F	5	1
458	F	5	1
459	F	5	1
460	F	5	1
461	F	5	1
462	F	5	1
463	F	5	1
464	F	5	1
465	F	5	1
466	F	5	1
467	F	5	1
468	F	5	1
469	M	1	2
470	M	1	2
471	M	1	2
472	M	1	2
473	M	1	2
474	M	2	2
475	M	2	2
476	M	2	2
477	M	2	2
478	M	2	2
479	M	2	2
480	M	2	2
481	M	2	2
482	M	2	2
483	M	2	2
484	M	2	2
485	M	2	2
486	M	2	2
487	M	2	2
488	M	2	2
489	M	2	2
490	M	2	2
491	M	2	2
492	M	2	2
493	M	2	2
494	M	2	2
495	M	2	2
496	M	2	2
497	M	2	2
498	M	2	2
499	M	2	2
500	M	2	2
501	M	2	2
502	M	2	2
503	M	3	2
504	M	3	2
505	M	3	2
506	M	3	2
507	M	3	2
508	M	3	2
509	M	3	2
510	M	3	2
511	M	3	2
512	M	3	2
513	M	3	2
514	M	3	2
515	M	3	2
516	M	3	2
517	M	3	2
518	M	3	2
519	M	3	2
520	M	3	2
521	M	3	2
522	M	3	2
523	M	3	2
524	M	3	2
525	M	3	2
526	M	3	2
527	M	3	2
528	M	3	2
529	M	3	2
530	M	3	2
531	M	3	2
532	M	3	2
533	M	4	2
534	M	4	2
535	M	4	2
536	M	4	2
537	M	4	2
538	M	4	2
539	M	4	2
540	M	4	2
541	M	4	2
542	M	4	2
543	M	4	2
544	M	4	2
545	M	4	2
546	M	4	2
547	M	4	2
548	M	4	2
549	M	4	2
550	M	4	2
551	M	4	2
552	M	4	2
553	M	4	2
554	M	4	2
555	M	4	2
556	M	4	2
557	M	4	2
558	M	4	2
559	M	4	2
560	M	4	2
561	M	4	2
562	M	4	2
563	M	4	2
564	M	4	2
565	M	4	2
566	M	4	2
567	M	4	2
568	M	4	2
569	M	4	2
570	M	4	2
571	M	4	2
572	M	4	2
573	M	4	2
574	M	4	2
575	M	4	2
576	M	4	2
577	M	4	2
578	M	4	2
579	M	4	2
580	M	4	2
581	M	4	2
582	M	4	2
583	M	4	2
584	M	4	2
585	M	4	2
586	M	4	2
587	M	4	2
588	M	4	2
589	M	4	2
590	M	4	2
591	M	4	2
592	M	4	2
593	M	4	2
594	M	4	2
595	M	4	2
596	M	4	2
597	M	4	2
598	M	4	2
599	M	4	2
600	M	4	2
601	M	4	2
602	M	4	2
603	M	4	2
604	M	4	2
605	M	4	2
606	M	4	2
607	M	4	2
608	M	4	2
609	M	4	2
610	M	4	2
611	M	4	2
612	M	4	2
613	M	4	2
614	M	4	2
615	M	4	2
616	M	4	2
617	M	4	2
618	M	4	2
619	M	4	2
620	M	4	2
621	M	4	2
622	M	4	2
623	M	4	2
624	M	5	2
625	M	5	2
626	M	5	2
627	M	5	2
628	M	5	2
629	M	5	2
630	M	5	2
631	M	5	2
632	M	5	2
633	M	5	2
634	M	5	2
635	M	5	2
636	M	5	2
637	M	5	2
638	M	5	2
639	M	5	2
640	M	5	2
641	M	5	2
642	M	5	2
643	M	5	2
644	M	5	2
645	M	5	2
646	M	5	2
647	M	5	2
648	M	5	2
649	M	5	2
650	M	5	2
651	M	5	2
652	M	5	2
653	M	5	2
654	M	5	2
655	M	5	2
656	M	5	2
657	M	5	2
658	M	5	2
659	M	5	2
660	M	5	2
661	M	5	2
662	M	5	2
663	M	5	2
664	M	5	2
665	M	5	2
666	M	5	2
667	M	5	2
668	M	5	2
669	M	5	2
670	M	5	2
671	M	5	2
672	M	5	2
673	M	5	2
674	M	5	2
675	M	5	2
676	M	5	2
677	M	5	2
678	M	5	2
679	M	5	2
680	M	5	2
681	M	5	2
682	M	5	2
683	M	5	2
684	M	5	2
685	M	5	2
686	M	5	2
687	M	5	2
688	M	5	2
689	M	5	2
