Rank	Name	GDPGrowth	GDPPerCap	TradeBal	Population	Unemployment	LGDPGrowth	LGDPPerCap	LPopulation	LUnemployment	pop	rnk
3	Finland	4.4	35500	11.2	5.2	6.9	1.481604541	10.47728798	1.648658626	1.931521412	S	High
25	France	1.8	33800	-35.9	64.1	8	0.587786665	10.42821608	4.160444364	2.079441542	L	High
68	Georgia	12	4200	-1.6	4.6	13.6	2.48490665	8.342839804	1.526056303	2.610069793	S	Low
53	Greece	3.7	30500	-36.4	10.7	8.4	1.30833282	10.32548196	2.370243741	2.128231706	S	High
95	Guatemala	5.6	5400	-1.8	13	3.2	1.722766598	8.594154233	2.564949357	1.16315081	S	Low
89	Guyana	4.5	5300	-0.2	0.8	9.1	1.504077397	8.5754621	-0.223143551	2.208274414	S	Low
99	Honduras	6	3300	-0.4	7.6	27.8	1.791759469	8.101677747	2.028148247	3.325036021	S	Low
9	Hong Kong	5.8	42000	19.9	7	4.2	1.757857918	10.6454249	1.945910149	1.435084525	S	High
31	Hungary	2.1	19500	-6.7	9.9	7.1	0.741937345	9.878169745	2.292534757	1.960094784	S	High
17	Iceland	1.8	39400	-3.4	0.3	1	0.587786665	10.5815211	-1.203972804	0	S	High
81	Indonesia	6.1	3400	10.2	237.5	9.7	1.808288771	8.131530711	5.470167623	2.272125886	L	Low
2	Ireland	5.3	45600	-12.6	4.2	5	1.667706821	10.727663	1.435084525	1.609437912	S	High
16	Israel	5.1	28800	5.9	7.1	7.6	1.62924054	10.26813067	1.960094784	2.028148247	S	High
28	Italy	1.9	31000	-57.9	58.1	6.7	0.641853886	10.34174248	4.062165664	1.902107526	L	High
49	Jamaica	1.5	4800	-1.6	2.8	10.2	0.405465108	8.476371197	1.029619417	2.32238772	S	High
61	Jordan	5.7	4700	-1.7	6.2	13.5	1.740466175	8.455317788	1.824549292	2.602689685	S	Low
69	Kazakhstan	8.7	10400	-4.6	15.3	7.3	2.163323026	9.249561085	2.727852828	1.987874348	S	Low
85	Kenya	6.3	1600	-1	38	40	1.840549633	7.377758908	3.63758616	3.688879454	L	Low
58	Kuwait	5.6	55300	51.5	2.6	2.2	1.722766598	10.92052819	0.955511445	0.78845736	S	High
84	Kyrgyzstan	6.5	2000	-0.7	5.4	18	1.871802177	7.60090246	1.686398954	2.890371758	S	Low
32	Latvia	10.3	17700	-5.8	2.2	5.9	2.332143895	9.781319919	0.78845736	1.774952351	S	High
107	Lesotho	4.8	1500	0	2.1	45	1.568615918	7.313220387	0.741937345	3.80666249	S	Low
30	Lithuania	8	16700	-5.3	3.6	3.2	2.079441542	9.723163998	1.280933845	1.16315081	S	High
22	Luxembourg	5	80800	11.3	0.5	4.4	1.609437912	11.29973224	-0.693147181	1.481604541	S	High
50	Macedonia	5.1	8400	0	2.1	34.8	1.62924054	9.035986985	0.741937345	3.549617387	S	High
38	Malaysia	5.7	14400	25.9	25.3	3.1	1.740466175	9.574983486	3.230804396	1.131402111	S	High
34	Mauritius	5.6	11900	-0.6	1.3	8.8	1.722766598	9.384293679	0.262364264	2.174751721	S	High
43	Mexico	3	12500	-5.4	110	3.7	1.098612289	9.433483923	4.700480366	1.30833282	L	High
90	Moldova	6	2200	-0.6	4.3	2.1	1.791759469	7.696212639	1.458615023	0.741937345	S	Low
73	Morocco	2.1	3800	0.4	34.3	15	0.741937345	8.242756346	3.535145354	2.708050201	L	Low
94	Mozambique	7.5	900	-0.7	21.3	21	2.014903021	6.802394763	3.058707073	3.044522438	S	Low
57	Namibia	4.5	5200	1.1	2.1	5.3	1.504077397	8.556413905	0.741937345	1.667706821	S	High
14	Netherlands	3.5	38600	59.3	16.6	4.1	1.252762968	10.56100756	2.809402695	1.410986974	S	High
12	New Zealand	3	27300	-10	4.2	3.5	1.098612289	10.21464198	1.435084525	1.252762968	S	High
105	Nicaragua	2.9	3200	-0.8	5.8	5.6	1.064710737	8.070906089	1.757857918	1.722766598	S	Low
87	Nigeria	6.3	2200	14.6	138.3	5.8	1.840549633	7.696212639	4.929425239	1.757857918	L	Low
15	Norway	4.9	55600	55.8	4.6	2.4	1.589235205	10.92593848	1.526056303	0.875468737	S	High
48	Oman	5.3	19100	3.8	3.3	15	1.667706821	9.857443614	1.193922468	2.708050201	S	High
83	Pakistan	6.3	2600	-6.5	167.8	7.5	1.840549633	7.863266724	5.122772794	2.014903021	L	Low
53	Panama	7.8	9000	-0.9	3.3	7.2	2.054123734	9.104979856	1.193922468	1.974081026	S	High
70	Paraguay	4.5	4000	-0.1	6.8	11.4	1.504077397	8.29404964	1.916922612	2.433613355	S	Low
52	Peru	7.5	7600	2	29.2	7.4	2.014903021	8.935903526	3.374168709	2.00148	S	High
91	Philippines	7.3	3300	6.7	92.7	7.3	1.987874348	8.101677747	4.529368473	1.987874348	L	Low
33	Poland	6.5	16200	-18.1	38.5	12.8	1.871802177	9.692766521	3.650658241	2.549445171	L	High
20	Portugal	1.9	21800	-18.5	10.7	8	0.641853886	9.989665249	2.370243741	2.079441542	S	High
40	Romania	5.9	11100	-22.6	22.2	4.1	1.774952351	9.314700387	3.100092289	1.410986974	S	High
86	Russia	8.1	14600	74	140.7	5.9	2.091864062	9.588776808	4.946629964	1.774952351	L	Low
47	Saudi Arabia	4.7	20700	88.9	28.2	13	1.547562509	9.937888979	3.339321978	2.564949357	S	High
71	Senegal	4.8	1700	-1.1	12.9	48	1.568615918	7.43838353	2.557227311	3.871201011	S	Low
8	Singapore	7.5	48900	41.4	4.6	1.7	2.014903021	10.79753268	1.526056303	0.530628251	S	High
36	Slovakia	8.8	19800	-3.1	5.5	8.6	2.174751721	9.893437217	1.704748092	2.151762203	S	High
27	Slovenia	5.8	27300	-1.2	2	4.6	1.757857918	10.21464198	0.693147181	1.526056303	S	High
39	South Africa	5	10600	-20.1	43.8	24.2	1.609437912	9.26860928	3.779633817	3.186352633	L	High
37	South Korea	4.9	24600	6	49.2	3.2	1.589235205	10.11050172	3.895893623	1.16315081	L	High
67	Sri Lanka	6	4100	-1.1	21.1	6.3	1.791759469	8.318742253	3.04927304	1.840549633	S	Low
6	Sweden	3.4	36900	30.2	9	4.5	1.223775432	10.51596683	2.197224577	1.504077397	S	High
10	Switzerland	2.6	39800	67.9	7.6	3.1	0.955511445	10.59162219	2.028148247	1.131402111	S	High
119	Syria	3.3	4300	-2.2	19.7	10	1.193922468	8.366370302	2.980618636	2.302585093	S	Low
26	Taiwan	5.5	29800	24.7	22.9	3.9	1.704748092	10.30226367	3.131136911	1.360976553	S	High
118	Tajikistan	7.8	1600	-0.1	7.2	2.4	2.054123734	7.377758908	1.974081026	0.875468737	S	Low
53	Thailand	4.5	8000	8.6	65.5	1.7	1.504077397	8.987196821	4.182050143	0.530628251	L	High
46	Trinidad and Tobago	5.5	21700	3.9	1	6	1.704748092	9.98506754	0	1.791759469	S	High
60	Tunisia	6.3	7500	-0.9	10.4	13.9	1.840549633	8.9226583	2.341805806	2.63188884	S	High
41	Turkey	5.1	9400	-36.3	71.9	9.7	1.62924054	9.148464968	4.275276265	2.272125886	L	High
75	Ukraine	6.9	6900	-3.9	46	2.5	1.931521412	8.839276691	3.828641396	0.916290732	L	Low
74	United Arab Emirates	8.5	55200	36.1	4.6	2.4	2.140066163	10.91871823	1.526056303	0.875468737	S	Low
44	Uruguay	7.2	10700	-0.4	3.5	9.2	1.974081026	9.27799902	1.252762968	2.219203484	S	High
106	Uzbekistan	8.1	2200	3	28.3	0.8	2.091864062	7.696212639	3.342861805	-0.223143551	S	Low
115	Venezuela	8.3	12800	17	26.4	9.1	2.116255515	9.45720045	3.27336401	2.208274414	S	Low
113	Vietnam	8.5	2600	-1.2	86.1	5.1	2.140066163	7.863266724	4.455509411	1.62924054	L	Low
98	Zambia	6	1400	-0.9	11.7	50	1.791759469	7.244227516	2.459588842	3.912023005	S	Low
