ID,duration,nBids,cond,startPr,shipPr,totalPr,shipSp,sellerRate,stockPhoto,wheels,notes
1.10E+11,1,17,new,1,2.99,56,upsGround,4858,yes,2,
3.20E+11,1,11,used,1,0,41,priority,30,no,1,
1.20E+11,3,9,new,0.01,0,46,firstClass,1144,no,1,
2.30E+11,7,10,used,0.99,3.99,34.99,firstClass,462,yes,1,
3.20E+11,1,23,used,0.99,0,49,parcel,280,yes,2,
1.70E+11,1,19,new,0.01,0,61,media,820,yes,2,
1.80E+11,1,14,new,0.01,0,62.89,media,820,yes,2,
2.70E+11,3,11,new,0.99,4,46,firstClass,299,yes,1,
3.90E+11,1,1,new,64.95,0,64.95,standard,118345,yes,2,
3.90E+11,7,14,used,9.95,3.99,36.99,media,2290,no,0,
2.80E+11,7,14,used,16,4,44,priority,37,yes,1,
3.50E+11,5,17,used,0.99,10.35,41.35,priority,1.45E+04,yes,1,
2.30E+11,7,11,used,9.99,3,37,priority,297,no,0,
3.00E+11,1,18,new,1,2.99,58.98,upsGround,4858,yes,2,
3.50E+11,5,20,used,0.99,4,39,firstClass,14503,yes,0,
1.20E+11,7,6,used,24.99,8.7,40.7,priority,3085,no,1,
1.10E+11,1,20,used,0.01,0,39.51,standard,7284,yes,0,
1.50E+11,7,9,used,17.99,0,52,parcel,121,no,2,
1.40E+11,3,14,new,0.99,8.7,47.7,priority,251,yes,1,
3.00E+11,7,13,used,1,4.9,38.76,parcel,41,no,0,
1.10E+11,1,13,new,1,2.99,54.51,upsGround,4858,yes,2,
